Timestamp,Fixation Index,Fixation Duration,SourceStimuliName,source_file_line,source_file_col
560820.8697,1648,133.3276,t7_eclipse (C_5.java),21,32
561287.4804,1649,191.62145,t7_eclipse (C_5.java),20,16
561629.1211,1650,99.96995,t7_eclipse (C_5.java),21,23
561870.77,1651,166.6618,t7_eclipse (C_5.java),21,19
562762.4536,1654,91.6095,t7_eclipse (C_5.java),22,30
562862.4175,1655,74.98405,t7_eclipse (C_5.java),22,32
563470.6408,1657,274.98595,t7_eclipse (C_5.java),20,17
563912.2652,1658,83.36205,t7_eclipse (C_5.java),21,21
564153.9442,1659,216.6136,t7_eclipse (C_5.java),21,26
564545.5709,1661,133.31525,t7_eclipse (C_5.java),16,16
564728.8631,1662,349.98765,t7_eclipse (C_5.java),20,16
565178.8496,1663,250.0085,t7_eclipse (C_5.java),22,34
565428.8822,1664,199.9632,t7_eclipse (C_5.java),22,33
565653.7994,1665,158.3117,t7_eclipse (C_5.java),23,35
566020.4901,1666,174.9238,t7_eclipse (C_5.java),22,25
566237.0489,1667,99.992,t7_eclipse (C_5.java),22,22
566420.3918,1668,616.63635,t7_eclipse (C_5.java),24,14
567086.97,1669,91.62465,t7_eclipse (C_5.java),23,19
567245.3152,1670,66.64575,t7_eclipse (C_5.java),30,28
567378.6105,1671,108.3195,t7_eclipse (C_5.java),29,33
567478.679,1672,99.986,t7_eclipse (C_5.java),29,33
567653.5997,1673,299.99345,t7_eclipse (C_5.java),29,40
568061.9706,1674,91.6822,t7_eclipse (C_5.java),30,12
568286.9404,1675,199.58465,t7_eclipse (C_5.java),29,21
568528.5042,1676,91.64805,t7_eclipse (C_5.java),29,25
569120.1211,1677,91.66485,t7_eclipse (C_5.java),29,35
569386.7785,1678,91.673,t7_eclipse (C_5.java),29,29
569586.8464,1679,191.6596,t7_eclipse (C_5.java),29,27
569945.0629,1680,133.3407,t7_eclipse (C_5.java),29,16
570120.0703,1681,66.65515,t7_eclipse (C_5.java),29,8
570220.1447,1682,100.00615,t7_eclipse (C_5.java),29,10
570403.3509,1683,141.65765,t7_eclipse (C_5.java),29,9
570653.3586,1684,166.65355,t7_eclipse (C_5.java),29,19
570961.721,1685,249.9766,t7_eclipse (C_5.java),29,30
571636.612,1686,116.66095,t7_eclipse (C_5.java),29,22
572336.5525,1689,216.7044,t7_eclipse (C_5.java),29,40
572603.1699,1690,133.3448,t7_eclipse (C_5.java),29,52
572819.827,1691,141.6284,t7_eclipse (C_5.java),29,19
573036.4905,1692,75.01305,t7_eclipse (C_5.java),29,21
573394.7894,1693,83.319,t7_eclipse (C_5.java),29,24
573511.4609,1694,99.9552,t7_eclipse (C_5.java),29,27
573778.1058,1695,66.68445,t7_eclipse (C_5.java),30,36
574753.0136,1697,133.3052,t7_eclipse (C_5.java),29,26
577561.0888,1701,308.3216,t7_eclipse (C_5.java),29,37
578319.4337,1702,166.66115,t7_eclipse (C_5.java),29,17
