,importance,feature,round
fixation_PupilSize_std_sum,0.0018774145319874,fixation_PupilSize_std_sum,6;13
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,6;13
Fixation Duration 250_sum,0.0,Fixation Duration 250_sum,6;13
fixation_PupilSize_mean_sum,0.0,fixation_PupilSize_mean_sum,6;13
horizontal saccade_sum,0.5956313837229772,horizontal saccade_sum,7;13
non-horizontal saccade_sum,0.0721142906342441,non-horizontal saccade_sum,7;13
Fixation Duration 250_sum,0.0704122740208178,Fixation Duration 250_sum,7;13
Sub-scanNUniqueVisits_sum,0.0547239440707765,Sub-scanNUniqueVisits_sum,7;13
fixation_NumberOfPupilPeaks_sum,0.0442887837151126,fixation_NumberOfPupilPeaks_sum,7;13
fixation_PupilSize_std_sum,0.0209917288450419,fixation_PupilSize_std_sum,7;13
Sub-scanDensity_sum,0.0192124376549018,Sub-scanDensity_sum,7;13
Fixation Count 250_sum,0.0186591955929551,Fixation Count 250_sum,7;13
fixation_PupilSize_mean_sum,0.0182653456578291,fixation_PupilSize_mean_sum,7;13
fixation_PupilPeaksAmplitude_median_sum,0.0154691692855195,fixation_PupilPeaksAmplitude_median_sum,7;13
Fixation Duration_sum,0.0127493153452084,Fixation Duration_sum,7;13
fixation_PupilPeaksAmplitude_mean_sum,0.0121770080076051,fixation_PupilPeaksAmplitude_mean_sum,7;13
saccadic amplitude_sum,0.0107718705161556,saccadic amplitude_sum,7;13
fixation_PupilSize_min_sum,0.0103824070055029,fixation_PupilSize_min_sum,7;13
IsfixationInSpatialCluster_sum,0.0099444659692625,IsfixationInSpatialCluster_sum,7;13
fixation_PupilPeaksAmplitude_sum_sum,0.0085238279736536,fixation_PupilPeaksAmplitude_sum_sum,7;13
Fixation Count_sum,0.0056825519824357,Fixation Count_sum,7;13
fixation_PupilPeaksAmplitude_max_sum,0.0,fixation_PupilPeaksAmplitude_max_sum,7;13
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,7;13
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,7;13
horizontal saccade_sum,0.6783785162511788,horizontal saccade_sum,8;13
fixation_PupilSize_min_sum,0.046535006281213,fixation_PupilSize_min_sum,8;13
