,importance,feature,round
fixation_PupilSize_median_sum,0.0632879714642652,fixation_PupilSize_median_sum,1;7
fixation_PupilSize_max_sum,0.0569778499367171,fixation_PupilSize_max_sum,1;7
fixation_PupilPeaksAmplitude_sum_sum,0.0544594376500522,fixation_PupilPeaksAmplitude_sum_sum,1;7
fixation_NumberOfPupilPeaks_sum,0.0426107548320751,fixation_NumberOfPupilPeaks_sum,1;7
fixation_PupilPeaksAmplitude_min_sum,0.0404372025723801,fixation_PupilPeaksAmplitude_min_sum,1;7
fixation_PupilSize_std_sum,0.0336724707242366,fixation_PupilSize_std_sum,1;7
Fixation Count_sum,0.0334871130350001,Fixation Count_sum,1;7
Sub-scanDensity_sum,0.03334992162541,Sub-scanDensity_sum,1;7
Fixation Duration_sum,0.0321324374426908,Fixation Duration_sum,1;7
Sub-scanNUniqueVisits_sum,0.0314129702523206,Sub-scanNUniqueVisits_sum,1;7
non-horizontal saccade_sum,0.0231564783488418,non-horizontal saccade_sum,1;7
Sub-scanNtranstions_sum,0.0190894932793827,Sub-scanNtranstions_sum,1;7
fixation_PupilPeaksAmplitude_mean_sum,0.0178054986329802,fixation_PupilPeaksAmplitude_mean_sum,1;7
Sub-scanAverageWeightedDegree_sum,0.0153705977010861,Sub-scanAverageWeightedDegree_sum,1;7
horizontal saccade_std,0.0147288919620746,horizontal saccade_std,1;7
Sub-scanEntropy_min,0.0108880071467698,Sub-scanEntropy_min,1;7
horizontal saccade_sum,0.2431412183428472,horizontal saccade_sum,2;7
saccadic amplitude_sum,0.0677542410364115,saccadic amplitude_sum,2;7
fixation_PupilSize_min_sum,0.0659624523944569,fixation_PupilSize_min_sum,2;7
fixation_PupilPeaksAmplitude_std_sum,0.0555473625646151,fixation_PupilPeaksAmplitude_std_sum,2;7
horizontal saccade_std,0.0544202921102806,horizontal saccade_std,2;7
fixation_PupilSize_std_sum,0.0538206532452703,fixation_PupilSize_std_sum,2;7
fixation_PupilPeaksAmplitude_median_sum,0.0518370243139322,fixation_PupilPeaksAmplitude_median_sum,2;7
fixation_PupilSize_max_sum,0.0516924402182367,fixation_PupilSize_max_sum,2;7
Sub-scanNUniqueVisits_sum,0.0449598393077752,Sub-scanNUniqueVisits_sum,2;7
fixation_PupilPeaksAmplitude_sum_sum,0.044466599234097,fixation_PupilPeaksAmplitude_sum_sum,2;7
Sub-scanNtranstions_sum,0.0444425709985314,Sub-scanNtranstions_sum,2;7
fixation_PupilPeaksAmplitude_max_sum,0.040565915756942,fixation_PupilPeaksAmplitude_max_sum,2;7
fixation_NumberOfPupilPeaks_sum,0.0334937687198777,fixation_NumberOfPupilPeaks_sum,2;7
Fixation Count_sum,0.0300240351575502,Fixation Count_sum,2;7
non-horizontal saccade_sum,0.0287066434144282,non-horizontal saccade_sum,2;7
fixation_PupilPeaksAmplitude_mean_sum,0.0261696275219781,fixation_PupilPeaksAmplitude_mean_sum,2;7
Sub-scanEntropy_sum,0.0239011340495273,Sub-scanEntropy_sum,2;7
Sub-scanDensity_sum,0.0186789540000228,Sub-scanDensity_sum,2;7
Sub-scanAverageWeightedDegree_sum,0.0183861527686099,Sub-scanAverageWeightedDegree_sum,2;7
Sub-scanNtranstions_min,0.0020290748446088,Sub-scanNtranstions_min,2;7
Fixation Count_sum,0.2652495867630104,Fixation Count_sum,3;7
fixation_PupilSize_max_sum,0.1243274735749774,fixation_PupilSize_max_sum,3;7
